"SR.
NO.",Town,Revenue Circle,Property Area,Classification,Location,Square No,Killa No,Khasra No,DC Rate,Unit,Structure Rate
455,Depalpur,Depal Pur- II,Afzal city (Roshan Shah ),Commercial,Main Road,,,,898800,Marla,1464
456,Depalpur,Depal Pur- II,Afzal city (Roshan Shah ),Residential,Off Road,,,,330750,Marla,879
457,Depalpur,Depal Pur- II,Al Habib Villas (Rattah Kahana,Commercial,Main Road,,,,494340,Marla,1464
458,Depalpur,Depal Pur- II,Al Habib Villas (Rattah Kahana,Residential,Off Road,,,,210250,Marla,879
459,Depalpur,Depal Pur- II,Al Kareem City (Mir Aman Ullah),Commercial,Main Road,,,,420000,Marla,866
460,Depalpur,Depal Pur- II,Al Kareem City (Mir Aman Ullah),Residential,Off Road,,,,222826,Marla,866
461,Depalpur,Depal Pur- II,Al-Jannat City,Commercial,Off Road,,,,1596000,Marla,878
462,Depalpur,Depal Pur- II,Al-Jannat City,Residential,Off Road,,,,532066,Marla,878
463,Depalpur,Depal Pur- II,Fasahat Avenue,Commercial,Off Road,,,,1839067,Marla,1684
464,Depalpur,Depal Pur- II,Fasahat Avenue,Residential,Off Road,,,,421878,Marla,878
465,Depalpur,Depal Pur- II,Green City I & II,Commercial,Off Road,,,,1839067,Marla,1684
466,Depalpur,Depal Pur- II,Green City I & II,Residential,Off Road,,,,421878,Marla,878
467,Depalpur,Depal Pur- II,Land Urban Area And Bye-Pass Jalal Kot (Link Road),Agricultural,Link Road,,,,10312619,Acre,866
468,Depalpur,Depal Pur- II,Land Urban Area And Bye-Pass Jalal Kot (Main Road),Agricultural,Main Road,,,,15468957,Acre,866
469,Depalpur,Depal Pur- II,Land Urban Area And Bye-Pass Jalal Kot (Off Road),Agricultural,Off Road,,,,7734456,Acre,866
470,Depalpur,Depal Pur- II,Land Urban Area And Bye-Pass Mir Aman Ullah (Link Road),Agricultural,Link Road,,,,12890760,Acre,866
471,Depalpur,Depal Pur- II,Land Urban Area And Bye-Pass Mir Aman Ullah (Main Road),Agricultural,Main Road,,,,20625239,Acre,866
472,Depalpur,Depal Pur- II,Land Urban Area And Bye-Pass Mir Aman Ullah (Off Road),Agricultural,Off Road,,,,10312619,Acre,866
473,Depalpur,Depal Pur- II,Land Urban Area Dhop Sari (Link Road),Agricultural,Link Road,,,,10312619,Acre,866
474,Depalpur,Depal Pur- II,Land Urban Area Dhop Sari (Main Road),Agricultural,Main Road,,,,15468957,Acre,866
475,Depalpur,Depal Pur- II,Land Urban Area Dhop Sari (Off Road),Agricultural,Off Road,,,,7734456,Acre,866
476,Depalpur,Depal Pur- II,Madina Colony,Commercial,Off Road,,,,1313629,Marla,878
477,Depalpur,Depal Pur- II,Madina Colony,Residential,Off Road,,,,445317,Marla,878
478,Depalpur,Depal Pur- II,Makkah Towar,Commercial,Main Road,,,,898800,Marla,1464
479,Depalpur,Depal Pur- II,Makkah Towar,Residential,Off Road,,,,330750,Marla,879
480,Depalpur,Depal Pur- II,Meer Aman Ullah (Main Road),Commercial,Link Road,,,,822457,Marla,865
481,Depalpur,Depal Pur- II,MI City Phase-II,Commercial,Main Road,,,,1050000,Marla,866
482,Depalpur,Depal Pur- II,MI City Phase-II,Residential,Off Road,,,,630000,Marla,866
483,Depalpur,Depal Pur- II,Munir Shah Town,Commercial,Off Road,,,,2101809,Marla,1684
484,Depalpur,Depal Pur- II,Munir Shah Town,Residential,Off Road,,,,644537,Marla,878
485,Depalpur,Depal Pur- II,New Al Kahir city,Commercial,Main Road,,,,494351,Marla,1464
486,Depalpur,Depal Pur- II,New Al Kahir city,Residential,Off Road,,,,210250,Marla,879
487,Depalpur,Depal Pur- II,New Green Market Situated Bye-Pass Jalal Kot,Commercial,Main Road,,,,1433057,Marla,1684
488,Depalpur,Depal Pur- II,Noor Madina Colony,Commercial,Off Road,,,,1313629,Marla,878
489,Depalpur,Depal Pur- II,Noor Madina Colony,Residential,Off Road,,,,445317,Marla,878
490,Depalpur,Depal Pur- II,Petrol Pump Rana Saif Ullah To Pull Ratta Khanna,Commercial,Main Road,,,,1839067,Marla,1684
491,Depalpur,Depal Pur- II,Rehman Town,Commercial,Off Road,,,,1839067,Marla,1684
492,Depalpur,Depal Pur- II,Rehman Town,Residential,Off Road,,,,386722,Marla,878
493,Depalpur,Depal Pur- II,Roshan Shah,Commercial,Off Road,,,,995174,Marla,866
494,Depalpur,Depal Pur- II,Roshan Shah,Residential,Off Road,,,,585943,Marla,866
